ID,myVar
Male,4.51
Male,2.71
Male,2.4
Male,0.98
Male,3.29
Male,1.07
Male,1.75
Male,4.46
Male,0.47
Male,4.18
Male,0.69
Male,0.45
Male,1.11
Male,0.86
Male,5.8
Male,2.25
Male,0.88
Male,0.87
Male,1.79
Male,3.15
Female,1.62
Female,2.58
Female,1.32
Female,2.68
Female,4.02
Female,3.22
Female,0.44
Female,3.86
Female,0.77
Female,0.8
Female,0.33
Female,1.55
Female,0.97
Female,1.39
Female,0.5
Female,0.96
Female,0.85
Female,1.07
Female,1.15
Female,4.8
Female,0.54
Female,0.65
